region_name,count,mean_abs_error,rmse,median_ape
Abbotsford,6102,307869.6766285556,753756.3922966712,0.1800300434557834
Bowen Island,243,569072.4790080239,1083125.7985091703,0.20646147684879912
Burnaby East,1054,230952.00190636833,386284.9333281526,0.12280393724890748
Burnaby North,4781,165736.2400058402,399713.45583117293,0.0645996083135341
Burnaby South,3808,210449.4880847869,531662.7944553639,0.07342787619628144
Cloverdale,2734,380637.23176853044,1209095.5670790796,0.22712723568766074
Coquitlam,7022,247776.9734048459,481173.48278359487,0.09396607780523333
FVREB Out of Town,84,698651.851017764,1170805.7799579652,0.46092534536486174
Islands-Van. & Gulf,234,477307.50471530505,979337.6412679544,0.29990942617856753
Ladner,936,498184.4934895967,760023.3348189277,0.29236282845013983
Langley,8821,444650.3412500014,1403279.9711427249,0.19796027037869116
Maple Ridge,4475,391544.02299606317,859721.8337737044,0.17194967776455086
Mission,2349,396693.94572027307,774679.1963769136,0.2323067584629356
N. Delta,1721,332490.4302042069,521236.38251195377,0.1367247405665296
New Westminster,3217,130307.06502696761,445782.59444677137,0.06841467723049573
North Surrey,6226,210408.85330141103,566432.1530346937,0.07800229170521614
North Vancouver,6210,295811.8010349141,588310.1891732006,0.09757180476161634
Out of Town,71,1964979.8132897015,3632004.81748449,0.6105443417630858
Pemberton,252,597749.7550487383,1576257.1256357294,0.18937062416197034
Pitt Meadows,725,209238.68313561034,419173.0016073003,0.09959662714145276
Port Coquitlam,2121,171663.47974618728,388176.2511656651,0.07585465087606262
Port Moody,2005,230601.19686952687,534770.344568583,0.07568852486597508
Richmond,9104,212061.31578834192,558289.2326697411,0.07664213846059673
South Surrey White Rock,6992,393026.1397354937,1059684.3724252202,0.16446184451485485
Squamish,1342,243500.28533367463,536929.5729756944,0.10015728409227026
Sunshine Coast,2192,480124.33437745715,997276.5206399815,0.31916530519227726
Surrey,7290,294420.99207788653,752578.0439583182,0.1432686849660911
Tsawwassen,1410,315367.28920634644,507145.20562556275,0.13547844529570519
Vancouver East,8919,290467.68089462287,572657.7976290062,0.10350554384659162
Vancouver West,15576,328568.72205819143,991598.0426067181,0.09430806854098275
West Vancouver,2849,1002544.4010751377,2013600.8602950508,0.15619385907367672
Whistler,1118,615493.7138127184,1217484.9559163183,0.174754395062024
