NEIGHBOURHOOD_CODE,count,mean_abs_error,rmse,median_ape
1,13117,857559.2140998142,10161278.307027673,0.09096532728191031
10,9761,364780.27533806564,2148601.161096279,0.06976643657579733
11,10791,1114423.932811537,19286562.25215567,0.14109704747989288
12,20542,327941.8623501476,1855146.4485396105,0.1295824317130381
13,56030,620765.0423195317,6007723.950600851,0.15578434313327288
14,31060,341490.4253456362,2655891.047371297,0.10133255187755066
15,17404,245637.16482975628,1053820.5716161449,0.0988834996546501
16,20482,369890.5798494814,4532017.664632368,0.06958947094080092
17,19737,228665.78485549783,2278342.5483035417,0.07689650998458208
18,17281,597753.248956117,3397529.748801576,0.18781712876731912
19,15562,229904.59789270427,2547221.0929914927,0.05914801356564777
2,45014,437106.0837499901,3030550.083192965,0.1246514197090298
20,16825,364785.93098889495,10322392.151416928,0.05401899383605299
21,12563,553579.3453488206,4447006.4104892,0.05998635041925378
22,13731,283517.97371582245,3073456.6715666773,0.06591332153317234
23,38823,164425.67549961942,1369707.1517470644,0.0929472378711785
24,15616,275205.9688186991,4775692.8559406,0.05677834744696704
25,14447,473099.7722793183,10607516.84258886,0.08815915522913999
26,53368,777322.128137105,6058642.873465541,0.2058497744183866
27,26849,1200963.6611079988,38342602.413313545,0.16216009866764827
28,6076,1197058.1916960555,6001035.501901259,0.2624125067588523
29,47931,247738.90372051302,1800971.423900535,0.17455470343609183
3,15025,537592.8657392627,2702556.6471316866,0.06854170690799291
30,28167,336963.49315149843,3932915.9862014237,0.21501204530142443
4,12094,530415.043213395,5624974.845808107,0.07738629854869548
5,13140,415491.3797533288,2103533.4499353594,0.08223078959340563
6,6514,525441.1982973298,1663565.9609358977,0.08275841724137029
7,40107,537724.3756890628,3284326.707539459,0.18004107039612424
8,7562,956361.971916909,7757404.2195598725,0.10321507952281114
9,19138,787750.6887030953,8263792.592339871,0.13243477141337792
