section,metric,value
rows,total_rows_before,1551133.0
rows,total_rows_after,1525600.0
missing_rate,CURRENT_PROPERTY_VALUE,0.0
missing_rate,CIVIC_FROM_NUM,0.492946
missing_rate,YEAR_BUILT,0.028582
missing_rate,BIG_IMPROVEMENT_YEAR,0.028591
missing_rate,LAND_COORDINATE,0.0
missing_rate,PROPERTY_POSTAL_CODE,0.0
count_by_report_year,2020,212446.0
count_by_report_year,2021,213609.0
count_by_report_year,2022,216719.0
count_by_report_year,2023,218069.0
count_by_report_year,2024,219701.0
count_by_report_year,2025,221880.0
count_by_report_year,2026,223176.0
count_by_neighbourhood_code_top20,13,128065.0
count_by_neighbourhood_code_top20,26,123799.0
count_by_neighbourhood_code_top20,29,109326.0
count_by_neighbourhood_code_top20,2,104882.0
count_by_neighbourhood_code_top20,7,93681.0
count_by_neighbourhood_code_top20,23,88680.0
count_by_neighbourhood_code_top20,14,71353.0
count_by_neighbourhood_code_top20,30,65740.0
count_by_neighbourhood_code_top20,27,60749.0
count_by_neighbourhood_code_top20,16,47528.0
count_by_neighbourhood_code_top20,12,47102.0
count_by_neighbourhood_code_top20,17,45024.0
count_by_neighbourhood_code_top20,9,42066.0
count_by_neighbourhood_code_top20,15,39443.0
count_by_neighbourhood_code_top20,20,38784.0
count_by_neighbourhood_code_top20,24,36273.0
count_by_neighbourhood_code_top20,18,36241.0
count_by_neighbourhood_code_top20,19,36060.0
count_by_neighbourhood_code_top20,3,34634.0
count_by_neighbourhood_code_top20,25,33551.0
